id,cn,en
BB_000_003102,角色双手自然下垂于身体两侧，身体重心稍微下压，向左缓慢移动。,"The character's hands hang naturally at the sides of their body, their body's center of gravity slightly lowered, and they move slowly to the left."
BB_000_004000,角色轻盈地向前跑动。,The character runs forward lightly.
BB_000_007150,角色轻盈地向前方滑步，过程中隐身，动作迅捷干净利落，流畅连贯，感觉轻飘飘的。,"The character swiftly and lightly slides forward, becoming invisible during the process, with agile and clean movements, smoothly and fluently, feeling light and airy."
BB_000_007400,角色轻盈地向前方翻滚，快速地起身。,The character rolls forward lightly and quickly gets up.
BB_000_007402,角色轻盈地向左边翻滚，快速地起身。,The character rolls to the left side lightly and quickly gets up.
BB_000_020200,角色受击，身体大硬直，均速起身，惊慌失措地身体失衡向后退，右手挥舞在空中。,"The character is hit, their body goes into large stagger, and they get up at a moderate speed. They stagger in panic, leaning backward, while swinging their right arm in the air."
BB_112_032220,角色借助右手初始形态进行单持翻滚攻击，直截了当而有力量感的，双腿半蹲向前跑动的过程中，右手从左向右挥击。,"The character performs a roll attack with a single-handed weapon in their right hand. It is straightforward and powerful. During the half-crouched running motion, the character swings the weapon from left to right."
DS3_026_030320,角色右手持大剑或特大剑，蓄力重击。角色双腿半蹲，上半身微微向右侧侧身，紧接着向前劈砍。最后回到原始站立姿势。,"The character holds a greatsword or ultra greatsword in their right hand and performs a charged heavy attack. They squat halfway, lean slightly to the right side with their upper body, and then swing the sword forward. Finally, they return to the original standing posture."
DS3_027_032060,角色左手持刺剑进行轻击，轻盈地右手挽一个刀花后向前刺击，同时向前碎步，随后恢复站姿。,"The character performs a light attack with a thrusting sword held in the left hand. They elegantly perform a flourish with their right hand before thrusting it forward, taking light steps forward. Then, they return to their stance."
DS3_028_036410,角色双手各持曲剑和大曲剑，在回旋挥刀后恢复站姿。,"The character wields a curved sword and a large curved sword in each hand, and swings the swords in rotation before returning to a standing posture."
DS3_029_030500,角色右手持太刀，快速奔跑并蓄力，然后使用直截了当的力量感向前刺击，最后恢复站姿。,"The character holds a katana in their right hand, runs quickly and charges, then uses a direct and powerful attack to thrust forward, and finally returns to a standing posture."
DS3_029_036240,角色用双持太刀进行战技弹反，沉重地向左侧身蓄力并下蹲，然后右脚前跨同时右手上刺，最后恢复站姿。,"The character uses dual-wielding katanas to perform a technique that deflects attacks. They heavily lean to the left side, crouch down, and gather strength. Then, they lunge forward with their right foot and stab with their right hand, before returning to their original stance."
DS3_030_030600,角色右手持斧，以跳跃的方式进行攻击。角色跃起，同时落地时右手向前劈砍，然后起身恢复站姿。,"The character wields an axe in their right hand and performs a jumping attack. They jump up, and as they land, they swing the axe forward with their right hand before returning to a standing position."
DS3_032_034000,角色双持斧头进行轻击，以较迅捷的速度扭腰向右，右腿向前迈步，双手斜向下挥砍。,"The character dual wields axes and performs a quick strike, swiftly twisting their waist to the right, stepping forward with their right leg, and slashing downward diagonally with both hands."
DS3_035_036420,角色持槌使用战技，具有沉重的力量感，匀速地向左转身旋转一圈，然后顺势将武器砸向地面，最后将武器扛在右肩。,"The character wields a hammer and uses a special attack, displaying a heavy sense of power. They rotate to the left at a steady pace, spin a full circle, then bring the hammer down on the ground, and finally carry it on their right shoulder."
DS3_038_034320,角色双持戟进行蓄力重击，扎实地侧身扭腰向左，右腿向前迈步，双手共握武器，从左后蓄力，然后向前连续挥两圈。,"The character dual wields halberds and charges a powerful strike. They firmly twist their waist to the side, step forward with their right leg, hold the weapons with both hands, gather strength from the left rear, and then swing in two consecutive circles."
DS3_051_036400,角色使用曲剑和大曲剑进行战技，扎实的将武器扛在肩膀上，人物向左转身，逆时针旋转一周半，武器顺势挥砍。,"The character utilizes a technique with curved swords and great curved swords, firmly carries the weapons on their shoulder, rotates to the left, counterclockwise almost one and a half circles, and swings the weapons."
ER_000_005450,角色全身向后被击飞，后仰在地，并缓慢地起身直立。,"The character is knocked backward, falling on their back, then slowly gets up and stands upright."
ER_029_032400,角色向右倾身扭腰，向前快速奔跑，双手稳握刀具，迅速向右上方挥刀。,"The character leans to the right, twists their waist, sprints forward quickly, and firmly grips the knives with both hands. They swiftly swing the blades upwards towards the right."
SKR_102_316210,角色双手握着楔丸，高举在头顶，右腿在前左腿在后扎马步，然后向下挥砍。	,"The character holds a wedge-shaped weapon with both hands, raising it high above their head. They then take a lunge position with their right leg forward and left leg behind, and swing the weapon downwards."